iter	Passed	Remaining
0	153	76389
1	155	38599
2	157	26030
3	159	19726
4	161	15958
5	163	13455
6	165	11659
7	167	10307
8	169	9262
9	171	8423
10	173	7730
11	175	7156
12	178	6677
13	180	6263
14	182	5902
15	184	5584
16	186	5305
17	188	5055
18	190	4831
19	192	4630
20	195	4448
21	197	4284
22	199	4133
23	201	3996
24	203	3875
25	206	3763
26	208	3657
27	211	3560
28	213	3468
29	215	3382
30	218	3302
31	220	3228
32	223	3157
33	225	3090
34	227	3028
35	230	2966
36	232	2906
37	234	2851
38	236	2799
39	239	2750
40	241	2703
41	243	2658
42	246	2617
43	248	2575
44	250	2537
45	253	2500
46	255	2464
47	258	2429
48	260	2397
49	262	2364
50	265	2334
51	267	2304
52	269	2276
53	272	2249
54	274	2222
55	276	2196
56	279	2170
57	281	2146
58	283	2121
59	286	2099
60	288	2077
61	291	2056
62	293	2036
63	295	2015
64	298	1995
65	300	1975
66	302	1955
67	304	1937
68	307	1919
69	309	1900
70	311	1882
71	313	1865
72	316	1849
73	318	1834
74	321	1819
75	323	1805
76	326	1790
77	328	1775
78	330	1762
79	333	1749
80	335	1736
81	338	1723
82	340	1709
83	342	1695
84	344	1683
85	347	1670
86	349	1657
87	351	1646
88	354	1634
89	356	1623
90	358	1612
91	361	1601
92	363	1590
93	365	1579
94	368	1570
95	370	1560
96	373	1551
97	375	1541
98	378	1533
99	382	1531
100	388	1533
101	391	1526
102	393	1517
103	396	1508
104	398	1499
105	400	1489
106	403	1480
107	405	1471
108	407	1462
109	409	1453
110	412	1444
111	414	1435
112	416	1426
113	418	1418
114	420	1409
115	423	1401
116	425	1392
117	427	1383
118	429	1375
119	431	1367
120	433	1359
121	435	1350
122	438	1342
123	440	1335
124	442	1327
125	444	1319
126	446	1311
127	448	1304
128	451	1297
129	453	1290
130	455	1284
131	458	1277
132	460	1271
133	463	1265
134	465	1259
135	468	1252
136	470	1246
137	472	1240
138	475	1234
139	477	1228
140	479	1221
141	482	1215
142	484	1209
143	487	1204
144	489	1198
145	492	1194
146	495	1188
147	497	1183
148	499	1177
149	502	1172
150	504	1166
151	507	1161
152	509	1155
153	511	1149
154	514	1144
155	516	1139
156	519	1134
157	521	1128
158	523	1123
159	526	1118
160	530	1116
161	532	1111
162	535	1107
163	539	1104
164	541	1100
165	545	1097
166	547	1092
167	550	1087
168	552	1082
169	554	1077
170	557	1072
171	559	1067
172	562	1062
173	564	1058
174	567	1053
175	569	1049
176	572	1044
177	574	1039
178	577	1034
179	579	1030
180	582	1025
181	584	1021
182	587	1016
183	589	1012
184	592	1008
185	594	1003
186	596	999
187	599	994
188	601	990
189	604	985
190	606	980
191	608	976
192	611	972
193	613	968
194	616	963
195	618	959
196	620	954
197	622	950
198	625	945
199	627	941
200	630	937
201	632	933
202	634	928
203	637	924
204	639	920
205	642	916
206	644	912
207	648	910
208	650	906
209	653	902
210	655	898
211	658	894
212	662	892
213	665	889
214	668	885
215	670	881
216	673	877
217	676	874
218	678	871
219	681	866
220	683	862
221	685	859
222	688	855
223	690	851
224	693	847
225	696	843
226	698	840
227	701	836
228	703	832
229	706	829
230	708	825
231	711	821
232	713	818
233	716	814
234	718	810
235	721	807
236	724	803
237	726	799
238	728	796
239	731	792
240	733	788
241	736	785
242	738	781
243	741	777
244	743	774
245	746	770
246	748	766
247	751	763
248	753	759
249	756	756
250	758	752
251	761	748
252	763	745
253	765	741
254	768	738
255	770	734
256	772	730
257	775	727
258	777	723
259	780	720
260	782	716
261	784	713
262	787	709
263	789	705
264	791	702
265	794	698
266	796	694
267	798	691
268	800	687
269	803	684
270	805	680
271	807	677
272	810	673
273	812	669
274	814	666
275	816	662
276	818	659
277	820	655
278	823	652
279	825	648
280	827	645
281	829	641
282	832	638
283	834	634
284	836	631
285	838	627
286	841	624
287	843	620
288	845	617
289	848	614
290	850	611
291	853	607
292	855	604
293	858	601
294	860	597
295	862	594
296	865	591
297	867	587
298	869	584
299	871	581
300	873	577
301	875	574
302	878	570
303	880	567
304	882	564
305	884	560
306	886	557
307	888	554
308	891	550
309	893	547
310	895	544
311	897	540
312	899	537
313	901	534
314	903	530
315	906	527
316	908	524
317	911	521
318	913	518
319	915	515
320	917	511
321	920	508
322	922	505
323	925	502
324	927	499
325	929	496
326	931	492
327	934	489
328	936	486
329	938	483
330	941	480
331	943	477
332	945	474
333	947	471
334	950	468
335	952	464
336	955	462
337	957	458
338	959	455
339	962	452
340	964	449
341	967	446
342	969	443
343	972	440
344	974	437
345	976	434
346	979	431
347	981	428
348	983	425
349	985	422
350	988	419
351	990	416
352	992	413
353	995	410
354	997	407
355	999	404
356	1002	401
357	1004	398
358	1007	395
359	1009	392
360	1012	389
361	1014	386
362	1016	383
363	1019	380
364	1021	377
365	1023	374
366	1026	371
367	1028	369
368	1031	366
369	1033	363
370	1036	360
371	1038	357
372	1040	354
373	1043	351
374	1046	348
375	1048	345
376	1050	342
377	1053	339
378	1055	337
379	1058	334
380	1060	331
381	1063	328
382	1065	325
383	1067	322
384	1070	319
385	1072	316
386	1074	313
387	1076	310
388	1079	307
389	1081	304
390	1083	301
391	1085	299
392	1088	296
393	1090	293
394	1092	290
395	1094	287
396	1096	284
397	1098	281
398	1101	278
399	1103	275
400	1105	273
401	1108	270
402	1110	267
403	1112	264
404	1115	261
405	1117	258
406	1120	255
407	1122	253
408	1124	250
409	1127	247
410	1129	244
411	1132	241
412	1134	239
413	1136	236
414	1139	233
415	1141	230
416	1144	227
417	1146	224
418	1148	222
419	1150	219
420	1152	216
421	1154	213
422	1156	210
423	1158	207
424	1161	204
425	1164	202
426	1166	199
427	1169	196
428	1171	193
429	1173	191
430	1176	188
431	1178	185
432	1181	182
433	1184	180
434	1186	177
435	1190	174
436	1193	172
437	1195	169
438	1199	166
439	1201	163
440	1204	161
441	1206	158
442	1209	155
443	1211	152
444	1213	150
445	1215	147
446	1217	144
447	1219	141
448	1221	138
449	1224	136
450	1226	133
451	1228	130
452	1230	127
453	1233	124
454	1235	122
455	1237	119
456	1239	116
457	1241	113
458	1244	111
459	1246	108
460	1249	105
461	1251	102
462	1253	100
463	1256	97
464	1258	94
465	1260	91
466	1262	89
467	1265	86
468	1267	83
469	1269	81
470	1271	78
471	1273	75
472	1275	72
473	1278	70
474	1280	67
475	1282	64
476	1284	61
477	1286	59
478	1288	56
479	1291	53
480	1293	51
481	1295	48
482	1297	45
483	1299	42
484	1302	40
485	1304	37
486	1307	34
487	1310	32
488	1312	29
489	1314	26
490	1317	24
491	1320	21
492	1323	18
493	1325	16
494	1328	13
495	1330	10
496	1332	8
497	1335	5
498	1337	2
499	1339	0
